Year,Month,State,Utility Number,Utility Name,Data Status,Residential.Capacity,Commercial.Capacity,Industrial.Capacity,Transportation.Capacity,Total.Capacity,Residential.Customers,Commercial.Customers,Industrial.Customers,Transportation.Customers,Total.Customers
2015,1,AK,219,Alaska Power and Telephone Co,Final,0.012,0.011,0.000,0.000,0.023,3,1,0,0,4
2015,1,AK,599,Anchorage Municipal Light and Power,Final,0.000,0.020,0.000,0.000,0.020,0,2,0,0,2
2015,1,AK,3522,Chugach Electric Assn Inc,Final,0.019,0.021,0.000,0.000,0.040,5,6,0,0,11
2015,1,AK,7353,Golden Valley Elec Assn Inc,Final,0.186,0.112,0.019,0.000,0.317,45,15,3,0,63
2015,1,AK,11824,Matanuska Electric Assn Inc,Final,0.132,0.033,0.000,0.000,0.165,39,8,0,0,47
2015,1,AK,19558,Homer Electric Assn Inc,Final,0.210,0.038,0.000,0.000,0.248,62,9,0,0,71
2015,1,AK,99999,State Adjustment,Final,0.034,.,.,.,0.034,.,.,.,.,.
2015,1,AL,195,Alabama Power Co,Final,0.266,0.207,0.040,0.000,0.513,62,17,1,0,80
2015,1,AL,99999,State Adjustment,Final,0.061,.,.,.,0.061,.,.,.,.,.
2015,1,AR,814,Entergy Arkansas Inc,Final,0.501,0.247,0.000,0.000,0.748,111,20,0,0,131
2015,1,AR,817,Arkansas Valley Elec Coop Corp,Final,0.107,0.017,0.000,0.000,0.124,22,1,0,0,23
2015,1,AR,3093,Carroll Electric Coop Corp - (AR),Final,0.355,0.000,0.000,0.000,0.355,72,0,0,0,72
2015,1,AR,5860,Empire District Electric Co,Final,0.012,0.000,0.000,0.000,0.012,1,0,0,0,1
2015,1,AR,6342,First Electric Coop Corp,Final,0.175,0.000,0.000,0.000,0.175,34,0,0,0,34
2015,1,AR,13718,City of North Little Rock - (AR),Final,0.050,1.200,0.000,0.000,1.250,3,5,0,0,8
2015,1,AR,14063,Oklahoma Gas & Electric Co,Final,0.061,0.031,0.000,0.000,0.092,11,4,0,0,15
2015,1,AR,17698,Southwestern Electric Power Co,Final,0.055,0.417,0.000,0.000,0.472,16,14,0,0,30
2015,1,AR,99999,State Adjustment,Final,0.572,0.032,.,.,0.604,.,.,.,.,.
2015,1,AZ,176,Ajo Improvement Co,Final,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3
2015,1,AZ,803,Arizona Public Service Co,Final,178.350,198.100,0.000,0.000,376.450,"30,413","1,113",0,0,"31,526"
2015,1,AZ,12919,Morenci Water and Electric,Final,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3
2015,1,AZ,16572,Salt River Project,Final,76.496,16.153,2.609,0.000,95.258,"12,162",301,51,0,"12,514"
2015,1,AZ,19189,Trico Electric Cooperative Inc,Final,5.585,5.600,0.000,0.000,11.185,863,17,0,0,880
2015,1,AZ,19728,"UNS Electric, Inc",Final,10.356,3.347,0.467,0.000,14.170,"1,349",85,10,0,"1,444"
2015,1,AZ,21538,"Mohave Electric Cooperative, I",Final,2.451,1.472,0.000,0.000,3.923,382,62,0,0,444
2015,1,AZ,24211,Tucson Electric Power Co,Final,44.040,1.494,55.608,0.000,101.142,"6,524",60,246,0,"6,830"
2015,1,AZ,99999,State Adjustment,Final,9.586,4.082,.,.,13.668,.,.,.,.,.
2015,1,CA,9216,Imperial Irrigation District,Final,6.568,19.426,0.000,0.000,25.994,"1,291",133,0,0,"1,424"
2015,1,CA,11208,Los Angeles Department of Water & Power,Final,69.131,55.569,0.000,0.000,124.700,"14,294",640,0,0,"14,934"
2015,1,CA,12745,Modesto Irrigation District,Final,8.041,6.235,6.665,0.000,20.941,"1,497",66,22,0,"1,585"
2015,1,CA,14328,Pacific Gas & Electric Co,Final,727.768,309.769,332.497,0.000,"1,370.034","149,674","4,978","1,474",0,"156,126"
2015,1,CA,14354,PacifiCorp,Final,1.104,1.265,0.587,0.000,2.956,151,24,7,0,182
2015,1,CA,14534,City of Pasadena - (CA),Final,2.355,3.423,0.000,0.000,5.778,611,40,0,0,651
2015,1,CA,16534,Sacramento Municipal Util Dist,Final,29.692,22.091,14.223,0.000,66.006,"8,156",259,39,0,"8,454"
2015,1,CA,16609,San Diego Gas & Electric Co,Final,234.409,54.859,27.943,0.000,317.211,"48,028",988,37,0,"49,053"
2015,1,CA,17609,Southern California Edison Co,Final,525.901,193.024,194.675,0.000,913.600,"104,758","3,184",519,0,"108,461"
2015,1,CA,17612,Bear Valley Electric Service,Final,0.722,0.000,0.000,0.000,0.722,120,0,0,0,120
2015,1,CA,19281,Turlock Irrigation District,Final,5.837,0.410,15.619,0.000,21.866,915,27,89,0,"1,031"
2015,1,CA,99999,State Adjustment,Final,33.750,26.796,2.377,.,62.923,.,.,.,.,.
2015,1,CO,3989,City of Colorado Springs - (CO),Final,1.449,4.420,0.000,0.000,5.869,320,64,0,0,384
2015,1,CO,6604,City of Fort Collins - (CO),Final,1.473,0.890,1.380,0.000,3.743,298,48,3,0,349
2015,1,CO,9336,Intermountain Rural Elec Assn,Final,2.198,0.056,0.000,0.000,2.254,406,4,0,0,410
2015,1,CO,12866,Moon Lake Electric Assn Inc,Final,0.000,0.100,0.000,0.000,0.100,0,5,0,0,5
2015,1,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.923,0.105,0.020,0.000,1.048,155,9,1,0,165
2015,1,CO,15466,Public Service Co of Colorado,Final,115.994,106.760,0.605,0.000,223.359,"21,044","2,064",10,0,"23,118"
2015,1,CO,16603,"San Luis Valley R E C, Inc",Final,0.189,0.082,0.030,0.000,0.301,51,9,2,0,62
2015,1,CO,19499,"United Power, Inc",Final,2.032,0.201,0.021,0.000,2.254,354,11,1,0,366
2015,1,CO,27058,"High West Energy, Inc",Final,0.002,0.000,0.000,0.000,0.002,1,0,0,0,1
2015,1,CO,56146,Black Hills/Colorado Elec.Util,Final,3.554,5.911,1.900,0.000,11.365,601,183,2,0,786
2015,1,CO,99999,State Adjustment,Final,12.684,2.319,0.455,.,15.458,.,.,.,.,.
