city,state,zipcode,county,employer_name,case_number
BELLEVUE ,WASHINGTON ,98004 ,KING ,GOPA IT CONSULTANTS INC. ,I-200-16347-698967 
SAN MATEO ,CALIFORNIA ,94401 ,SAN MATEO ,GOPA IT CONSULTANTS INC. ,I-200-16340-079348 
SAN MATEO ,CALIFORNIA ,94401 ,SAN MATEO ,GOPA IT CONSULTANTS INC. ,I-200-16273-971519 
SAN MATEO ,CALIFORNIA ,94401 ,SAN MATEO ,GOPA IT CONSULTANTS INC. ,I-200-16270-220148 
INVER GROVE HEIGHTS ,MINNESOTA ,55077 ,DAKOTA ,GOPA IT CONSULTANTS INC. ,I-200-16256-069600 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16355-664856 
WAUKESHA ,WISCONSIN ,53188 ,WAUKESHA ,GENERAL ELECTRIC COMPANY ,I-200-16348-555191 
CHARLEROI ,PENNSYLVANIA ,15022 ,WASHINGTON ,GENERAL ELECTRIC COMPANY ,I-200-16343-223073 
WAUKESHA ,WISCONSIN ,53188 ,WAUKESHA ,GENERAL ELECTRIC COMPANY ,I-200-16342-101861 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16340-788392 
OOLTEWAH ,TENNESSEE ,37363 ,HAMILTON ,GENERAL ELECTRIC COMPANY ,I-200-16340-494041 
CINCINNATI ,OHIO ,45202 ,HAMILTON ,GENERAL ELECTRIC COMPANY ,I-200-16337-013414 
VAN BUREN TOWNSHIP ,MICHIGAN ,48184 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16337-375320 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16335-074151 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16337-098175 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16336-068675 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16336-006278 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16336-657126 
CINCINNATI ,OHIO ,45202 ,HAMILTON ,GENERAL ELECTRIC COMPANY ,I-200-16322-176901 
ATLANTA ,GEORGIA ,30339 ,COBB ,GENERAL ELECTRIC COMPANY ,I-200-16335-627969 
FOXBOROUGH ,MASSACHUSETTS ,02035 ,NORFOLK ,GENERAL ELECTRIC COMPANY ,I-200-16326-686623 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16334-054867 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16334-755305 
FLORENCE ,SOUTH CAROLINA ,29501 ,FLORENCE ,GENERAL ELECTRIC COMPANY ,I-200-16334-417039 
SYRACUSE ,NEW YORK ,13212 ,ONONDAGA ,GENERAL ELECTRIC COMPANY ,I-200-16327-746569 
ALBANY ,NEW YORK ,12211 ,ALBANY ,GENERAL ELECTRIC COMPANY ,I-200-16321-466345 
VAN BUREN ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16323-414205 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16322-718471 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16322-557555 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16322-957203 
VAN BUREN TOWNSHIP ,MICHIGAN ,48111 ,WAYNE ,GENERAL ELECTRIC COMPANY ,I-200-16316-718266 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16321-236911 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16318-086002 
SAN RAMON ,CALIFORNIA ,94582 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16314-160492 
PORTLAND ,OREGON ,97204 ,MULTNOMAH ,PORTLAND GENERAL ELECTRIC COMPANY ,I-200-16314-899556 
SCHENECTADY ,NEW YORK ,12306 ,SCHENECTADY ,GENERAL ELECTRIC COMPANY ,I-200-16314-881782 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16312-365219 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16312-243612 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16308-735041 
ALBANY ,NEW YORK ,12205 ,ALBANY ,GENERAL ELECTRIC COMPANY ,I-200-16300-919274 
CHICAGO ,ILLINOIS ,60661 ,COOK ,GENERAL ELECTRIC COMPANY ,I-200-16300-509520 
SCHENECTADY ,NEW YORK ,12345 ,SCHENECTADY ,GENERAL ELECTRIC COMPANY ,I-200-16299-022926 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16299-015408 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16299-085248 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,GENERAL ELECTRIC COMPANY ,I-200-16298-412814 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16295-543330 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16294-471570 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16294-038587 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16294-904486 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16294-169144 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16294-437985 
NORWALK ,CONNECTICUT ,06851 ,FAIRFIELD ,GENERAL ELECTRIC COMPANY ,I-200-16294-626485 
